1312200,Ahmedabad,2022-05-29,HH Pandya,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,Gujarat Titans,Wickets,7,N,NA,CB Gaffaney,Nitin Menon
1312199,Ahmedabad,2022-05-27,JC Buttler,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Wickets,7,N,NA,CB Gaffaney,Nitin Menon
1312198,Kolkata,2022-05-25,RM Patidar,"Eden Gardens, Kolkata",Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,Royal Challengers Bangalore,Runs,14,N,NA,J Madanagopal,MA Gough
1312197,Kolkata,2022-05-24,DA Miller,"Eden Gardens, Kolkata",Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,Wickets,7,N,NA,BNJ Oxenford,VK Sharma
1304116,Mumbai,2022-05-22,Harpreet Brar,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,Punjab Kings,Wickets,5,N,NA,AK Chaudhary,NA Patwardhan
1304115,Mumbai,2022-05-21,JJ Bumrah,"Wankhede Stadium, Mumbai",Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wickets,5,N,NA,Nitin Menon,Tapan Sharma
1304114,Mumbai,2022-05-20,R Ashwin,"Brabourne Stadium, Mumbai",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,Wickets,5,N,NA,CB Gaffaney,NA Patwardhan
1304113,Mumbai,2022-05-19,V Kohli,"Wankhede Stadium, Mumbai",Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,Royal Challengers Bangalore,Wickets,8,N,NA,KN Ananthapadmanabhan,GR Sadashiv Iyer
1304112,Navi Mumbai,2022-05-18,Q de Kock,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,bat,Lucknow Super Giants,Runs,2,N,NA,R Pandit,YC Barde
1304111,Mumbai,2022-05-17,RA Tripathi,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,Runs,3,N,NA,CB Gaffaney,N Pandit
1304110,Navi Mumbai,2022-05-16,SN Thakur,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,Punjab Kings,Punjab Kings,field,Delhi Capitals,Runs,17,N,NA,GR Sadashiv Iyer,Nitin Menon
1304109,Mumbai,2022-05-15,TA Boult,"Brabourne Stadium, Mumbai",Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,Rajasthan Royals,Runs,24,N,NA,PG Pathak,Tapan Sharma
